127.0.0.1 - - [23/Sep/2019:17:13:05 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:13:06 +0800] "GET /ch20/WEB-INF/classes/applicationContext.xml HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:13:30 +0800] "GET /ch20/admin HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:13:30 +0800] "GET /ch20/images/admin/ok.gif HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:13:30 +0800] "GET /ch20/images/admin/bb.jpg HTTP/1.1" 200 6311
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:13:30 +0800] "GET /ch20/images/admin/login.gif HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:13:30 +0800] "GET /ch20/images/admin/cancel.gif HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:13:30 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:13:42 +0800] "POST /ch20/admin/login HTTP/1.1" 500 9521
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:14:58 +0800] "POST /ch20/admin/login HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:14:58 +0800] "GET /ch20/adminGoods/selectGoods HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:14:58 +0800] "GET /ch20/css/admin/common.css HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:14:58 +0800] "GET /ch20/css/images/admin/bb.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:19:28 +0800] "GET /ch20/adminGoods/toAddGoods HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:19:28 +0800] "GET /ch20/css/images/admin/bb.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:20:05 +0800] "GET /ch20/adminType/toAddType HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:20:31 +0800] "POST /ch20/adminType/addType HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [23/Sep/2019:17:20:34 +0800] "POST /ch20/adminType/addType HTTP/1.1" 200 1060
